"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Ben Hutton","19-20","L.A","D",65,1075.57,52.17,55.13,54.76,55.28,52.85,44.56,40.85,621.97,506.14,868.18,717.31,1157.71,936.69,46.94,41.87,3.71,115.83,150.87,221.02,5.07,7.16,91.93
"Ben Hutton","20-21","ANA/TOR","D",38,604.1,32.66,45.62,45.42,45.49,43.85,14.15,29.18,273.8,326.31,375.03,450.66,493.41,591.35,21.13,27.06,-15.03,-52.51,-75.63,-97.94,-5.93,5.17,91.06
"Ben Hutton","21-22","VGK","D",58,849.37,53.43,52.75,53.14,51.65,51.7,37.38,32.58,446.44,399.9,620.89,547.41,819.92,767.61,35.53,33.2,4.8,46.54,73.48,52.31,2.33,8.37,91.85
"Ben Thomas","20-21","T.B","D",5,68.3,56.99,63.11,57.76,55.96,56.52,5.22,3.94,40.5,23.67,51.45,37.62,62.97,49.56,3.12,2.4,1.28,16.83,13.83,13.41,0.72,12.89,83.35
"Benoit-Olivier Groulx","21-22","ANA","C",18,165.52,44.33,43.83,42.21,44.42,40.75,3.95,4.96,70.69,90.61,95.8,131.14,134.95,168.84,5.31,7.72,-1.01,-19.92,-35.34,-33.89,-2.41,5.59,94.53
"Blake Coleman","19-20","N.J/T.B","C",66,875.45,46.74,50.05,49.74,49.1,49.98,38.08,43.4,444.47,443.65,614.49,620.83,798.99,828.42,32.68,32.71,-5.32,0.82,-6.34,-29.43,-0.03,8.57,90.22
"Blake Coleman","20-21","T.B","C",55,686.45,57.01,57.63,57.32,56.41,57.47,33.4,25.19,407.06,299.29,537.38,400.17,675.99,522.41,29.93,22.15,8.21,107.77,137.21,153.58,7.78,8.21,91.58
"Blake Coleman","21-22","CGY","C",81,1038.8,55.96,59.16,58.9,58.77,56.61,41.83,32.92,627.55,433.28,867.08,605.1,1138.67,798.87,49.45,37.9,8.91,194.27,261.98,339.8,11.55,6.67,92.4
"Blake Comeau","19-20","DAL","L",55,676.68,37.56,49.16,48.03,49.25,48.93,15.09,25.09,298.96,309.19,391.09,423.1,561.9,578.95,21.87,22.83,-10,-10.23,-32.01,-17.05,-0.96,5.05,91.89
"Blake Comeau","20-21","DAL","L",51,704.13,38.59,54.63,51.27,51.13,52.15,17.17,27.32,342.47,284.45,451.74,429.35,619.63,592.16,23.8,21.84,-10.15,58.02,22.39,27.47,1.96,5.01,90.4
"Blake Comeau","21-22","DAL","L",6,62.02,49.27,53.01,51.06,48.66,55,2.02,2.08,23.67,20.98,33.58,32.19,44.33,46.77,1.65,1.35,-0.06,2.69,1.39,-2.44,0.3,8.53,90.09
"Blake Lizotte","19-20","L.A","C",65,756,44.63,53.61,54.81,54.74,53.82,20.02,24.84,404.04,349.64,575.73,474.77,768.56,635.57,32.29,27.71,-4.82,54.4,100.96,132.99,4.58,4.95,92.9
"Blake Lizotte","20-21","L.A","C",41,448.7,49.97,49.59,50.88,50.21,46,15.02,15.04,218.1,221.73,309.08,298.36,407.7,404.31,18.17,21.33,-0.02,-3.63,10.72,3.39,-3.16,6.89,93.22
"Blake Lizotte","21-22","L.A","C",70,759.2,57.19,57.86,56.12,56.72,51.06,32.17,24.08,415.65,302.77,569.96,445.71,777.05,592.94,30.21,28.95,8.09,112.88,124.25,184.11,1.26,7.74,92.05
"Blake Wheeler","19-20","WPG","R",71,1038.28,49.4,50.16,50.57,50.47,47.01,42.14,43.17,522.57,519.25,739.26,722.46,974.45,956.3,39.7,44.75,-1.03,3.32,16.8,18.15,-5.05,8.06,91.69
"Blake Wheeler","20-21","WPG","R",50,733.45,42.92,47.16,47.01,46.02,43.5,35,46.55,354.03,396.74,478.14,538.99,610.56,716.25,30.84,40.06,-11.55,-42.71,-60.85,-105.69,-9.22,9.89,88.27
"Blake Wheeler","21-22","WPG","R",65,1008.45,46.73,50.26,49.87,50,47.49,44.65,50.9,547.44,541.88,753.18,757.18,982.66,982.69,47.5,52.53,-6.25,5.56,-4,-0.03,-5.03,8.16,90.61
