"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Blake Coleman","21-22","CGY","C",81,1200.47,16,9,8,33,212,268,329,21.46,7.55,5.97,8.01,44,47,34,163,68,25,19,2,2,-6,2,17,-15
"Blake Comeau","19-20","DAL","L",55,821.7,8,3,5,16,74,91,121,7.63,10.81,8.79,8.38,24,27,21,107,41,18,13,0,0,-5,42,54,-12
"Blake Comeau","20-21","DAL","L",51,802.75,4,6,4,14,76,99,134,8.08,5.26,4.04,8.16,18,17,21,106,43,11,9,1,1,-2,53,57,-4
"Blake Comeau","21-22","DAL","L",6,68.82,1,0,0,1,2,2,5,0.15,50,50,7.5,3,4,1,13,5,2,0,0,0,-2,1,0,1
"Blake Lizotte","19-20","L.A","C",65,907.4,6,10,7,23,87,122,158,9.43,6.9,4.92,7.73,22,21,22,42,106,10,19,0,0,9,312,310,2
"Blake Lizotte","20-21","L.A","C",41,520.95,3,1,6,10,42,62,77,4.84,7.14,4.84,7.81,21,6,6,32,53,8,11,0,0,3,180,174,6
"Blake Lizotte","21-22","L.A","C",70,851.47,10,8,6,24,91,122,141,9.18,10.99,8.2,7.52,12,10,31,74,138,14,16,0,0,2,313,294,19
"Blake Wheeler","19-20","WPG","R",71,1371.67,22,27,16,65,180,253,308,18.74,12.22,8.7,7.41,51,46,37,102,59,16,19,1,1,3,325,327,-2
"Blake Wheeler","20-21","WPG","R",50,917.03,15,20,11,46,113,144,169,12.55,13.27,10.42,8.72,30,16,25,63,56,20,10,0,0,-10,3,5,-2
"Blake Wheeler","21-22","WPG","R",65,1270.02,17,24,19,60,167,210,263,21.62,10.18,8.1,10.3,37,36,32,62,56,18,12,0,0,-6,4,17,-13
"Bo Horvat","19-20","VAN","C",69,1361.5,22,20,11,53,178,224,274,23.91,12.36,9.82,10.67,66,27,28,55,56,8,14,1,1,6,850,633,217
"Bo Horvat","20-21","VAN","C",56,1113.82,19,9,11,39,131,179,226,16.17,14.5,10.61,9.03,38,22,25,64,53,9,9,1,1,0,648,577,71
"Bo Horvat","21-22","VAN","C",70,1363.33,30,12,9,51,194,260,303,23.9,15.46,11.54,9.19,45,25,32,96,57,20,14,0,0,-6,841,633,208
"Bobby Brink","21-22","PHI","R",10,154.48,0,2,2,4,18,26,31,2.21,0,0,8.5,2,4,1,15,10,0,3,0,0,3,3,1,2
"Bobby Ryan","19-20","OTT","R",24,324.42,5,2,1,8,43,67,95,5.15,11.63,7.46,7.69,13,18,12,41,10,6,3,2,2,-3,3,2,1
"Bobby Ryan","20-21","DET","R",33,505.72,7,6,1,14,73,94,119,5.77,9.59,7.45,6.14,17,12,10,31,34,6,6,1,1,0,5,11,-6
"Boone Jenner","19-20","CBJ","C",70,1268.15,11,7,6,24,179,229,271,16.42,6.15,4.8,7.17,80,28,24,109,65,13,14,0,0,1,643,523,120
"Boone Jenner","20-21","CBJ","C",41,737.97,8,5,4,17,79,110,131,8.12,10.13,7.27,7.38,53,22,14,76,36,3,6,0,0,3,301,245,56
"Boone Jenner","21-22","CBJ","C",59,1206.75,23,11,10,44,160,221,266,19.74,14.37,10.41,8.93,56,29,33,80,45,11,13,0,0,2,642,556,86
"Boris Katchouk","21-22","CHI/T.B","L",59,585.95,3,2,2,7,58,80,100,6.26,5.17,3.75,7.82,20,7,16,138,60,7,15,1,1,8,7,11,-4
"Bowen Byram","20-21","COL","D",19,332.72,0,1,1,2,21,28,43,0.99,0,0,3.54,13,5,1,33,45,9,3,1,1,-6,0,0,0
"Bowen Byram","21-22","COL","D",30,564.23,5,6,6,17,49,72,102,2.75,10.2,6.94,3.82,26,11,14,53,70,6,1,0,1,-4,0,0,0
"Brad Hunt","19-20","MIN","D",59,893.1,8,7,4,19,106,138,183,4.34,7.55,5.8,3.14,39,14,15,12,32,3,1,0,0,-2,0,0,0
"Brad Hunt","20-21","MIN","D",12,148,1,0,0,1,14,20,31,0.91,7.14,5,4.55,6,1,2,4,7,2,0,0,0,-2,0,0,0
"Brad Hunt","21-22","VAN","D",50,762.65,3,8,6,17,67,90,127,2.31,4.48,3.33,2.57,48,19,11,22,75,6,3,0,0,-3,0,0,0
"Brad Malone","21-22","EDM","C",8,66.23,1,1,0,2,7,9,11,0.79,14.29,11.11,8.78,1,2,0,22,5,1,1,0,0,0,13,14,-1
"Brad Marchand","19-20","BOS","C",70,1361.65,28,36,23,87,185,240,301,23.18,15.14,11.67,9.66,19,71,43,55,95,31,40,2,2,9,22,29,-7
"Brad Marchand","20-21","BOS","C",53,1002.25,29,26,14,69,143,182,228,18.45,20.28,15.93,10.14,11,36,42,66,56,23,18,0,0,-5,11,24,-13
"Brad Marchand","21-22","BOS","C/L",70,1346.87,32,29,19,80,242,306,396,26.74,13.22,10.46,8.74,20,62,40,78,101,31,33,2,1,1,14,27,-13
"Brad Richardson","19-20","ARI","R",59,805.12,6,5,0,11,76,105,133,8.85,7.89,5.71,8.43,44,18,12,77,51,10,7,0,0,-3,355,303,52
"Brad Richardson","20-21","NSH","R",17,208.48,1,3,0,4,18,23,27,1.27,5.56,4.35,5.52,9,1,4,14,7,2,1,0,0,-1,76,72,4
"Brad Richardson","21-22","CGY/VAN","R",44,453.5,4,2,2,8,31,48,69,3.36,12.9,8.33,7,20,9,7,59,54,10,10,1,1,0,139,100,39
"Braden Schneider","21-22","NYR","D",43,665.48,2,3,6,11,25,42,65,1.16,8,4.76,2.76,52,20,7,60,95,3,1,1,1,-2,0,0,0
"Brady Skjei","19-20","CAR/NYR","D",67,1386.28,8,3,13,24,139,178,239,5.91,5.76,4.49,3.32,96,55,36,103,98,21,10,1,1,-11,0,0,0
"Brady Skjei","20-21","CAR","D",52,1078.08,3,2,5,10,104,136,179,4.24,2.88,2.21,3.12,62,42,21,66,91,15,6,0,0,-9,0,0,0
"Brady Skjei","21-22","CAR","D",82,1733.67,9,16,14,39,184,253,330,8.6,4.89,3.56,3.4,73,62,51,95,114,24,7,0,0,-17,0,0,0
"Brady Tkachuk","19-20","OTT","L",71,1344,21,18,5,44,260,362,432,34.19,8.08,5.8,9.44,43,40,35,303,133,29,41,4,4,12,144,168,-24
"Brady Tkachuk","20-21","OTT","L",56,1020.87,17,11,8,36,220,283,319,27,7.73,6.01,9.54,23,37,33,248,71,17,28,7,7,11,118,131,-13
"Brady Tkachuk","21-22","OTT","L",79,1485.33,30,29,8,67,288,373,461,36.06,10.42,8.04,9.67,25,68,41,270,128,36,33,5,5,-3,217,218,-1
"Brandon Carlo","19-20","BOS","D",67,1371.33,4,5,10,19,111,141,180,4.02,3.6,2.84,2.85,76,32,31,126,150,9,8,1,1,-1,0,0,0
"Brandon Carlo","20-21","BOS","D",27,505.15,3,0,1,4,43,67,90,1.28,6.98,4.48,1.91,35,8,6,38,49,6,3,0,0,-3,0,0,0
"Brandon Carlo","21-22","BOS","D",79,1556.6,6,5,4,15,125,161,212,3.12,4.8,3.73,1.94,104,25,32,143,197,13,11,1,1,-2,0,0,0
