"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Joel Hanley","21-22","DAL","D",44,525.38,2,3,1,6,18,32,56,0.68,11.11,6.25,2.12,43,14,5,60,65,2,2,0,0,0,0,0,0
"Joel Kellman","19-20","S.J","C",31,358.95,3,3,1,7,31,40,50,2.26,9.68,7.5,5.65,18,8,8,28,22,2,3,0,0,1,112,126,-14
"Joel Kellman","20-21","S.J","C",7,74.73,1,1,0,2,13,15,19,0.9,7.69,6.67,6,2,0,3,5,3,3,1,0,0,-2,27,28,-1
"Joel Kiviranta","19-20","DAL","L",11,117.1,1,0,0,1,13,18,25,1.49,7.69,5.56,8.28,3,3,5,17,9,2,0,0,0,-2,0,0,0
"Joel Kiviranta","20-21","DAL","L",26,316.52,6,4,1,11,31,41,54,4.21,19.35,14.63,10.27,11,3,7,40,36,3,2,0,0,-1,1,6,-5
"Joel Kiviranta","21-22","DAL","L",56,533.23,1,2,4,7,59,78,98,5.42,1.69,1.28,6.95,23,9,7,97,52,5,6,0,0,1,0,3,-3
"Joel L'Esperance","20-21","DAL","R",12,112.95,2,0,0,2,8,18,20,0.66,25,11.11,3.67,0,3,1,16,5,1,1,0,0,0,7,10,-3
"Joel Persson","19-20","EDM","D",13,199.07,0,0,2,2,17,26,33,0.4,0,0,1.54,10,8,2,6,15,1,0,0,0,-1,0,0,0
"Joey Anderson","19-20","N.J","R",18,237.9,4,1,1,6,21,29,39,2.57,19.05,13.79,8.86,6,7,4,16,19,1,1,0,0,0,3,3,0
"Johan Larsson","19-20","BUF","L",62,923.73,6,8,4,18,60,83,99,6.97,10,7.23,8.4,31,23,24,85,112,13,8,0,0,-5,322,346,-24
"Johan Larsson","20-21","ARI","L",52,726.92,8,2,4,14,58,85,106,6.3,13.79,9.41,7.41,34,6,22,77,78,7,13,2,3,7,296,313,-17
"Johan Larsson","21-22","ARI/WSH","L",43,684.35,7,5,9,21,44,65,88,5.03,15.91,10.77,7.74,25,13,13,70,75,11,8,2,2,-3,195,227,-32
"John Carlson","19-20","WSH","D",69,1699.68,15,38,22,75,189,272,369,11.33,7.94,5.51,4.17,108,80,42,55,58,13,8,0,0,-5,0,1,-1
"John Carlson","20-21","WSH","D",52,1236.67,10,17,17,44,128,191,251,8.03,7.81,5.24,4.2,69,21,24,52,58,6,4,0,0,-2,0,0,0
"John Carlson","21-22","WSH","D",78,1857.25,17,25,29,71,195,278,388,12.58,8.72,6.12,4.53,112,55,42,73,97,10,10,0,0,0,0,0,0
"John Gilmour","19-20","BUF","D",4,68.17,0,0,0,0,5,7,10,0.47,0,0,6.71,3,3,0,3,4,0,0,0,0,0,0,0,0
"John Hayden","19-20","N.J","C",43,417.77,3,0,1,4,39,52,68,2.65,7.69,5.77,5.1,27,7,13,87,40,11,6,5,4,-6,4,15,-11
"John Hayden","20-21","ARI","C",29,284.6,2,2,1,5,21,28,38,1.51,9.52,7.14,5.39,16,4,4,84,33,6,4,5,5,-2,4,9,-5
"John Hayden","21-22","BUF","C",55,595.55,2,0,2,4,66,84,104,5.44,3.03,2.38,6.48,24,10,12,104,47,12,12,6,6,0,2,7,-5
"John Klingberg","19-20","DAL","D",58,1285.57,6,16,10,32,120,173,288,5.43,5,3.47,3.14,72,71,24,29,111,12,9,0,0,-3,0,0,0
"John Klingberg","20-21","DAL","D",53,1202.88,7,13,16,36,108,155,231,5.63,6.48,4.52,3.63,52,51,17,49,122,10,11,1,1,1,0,0,0
"John Klingberg","21-22","DAL","D",74,1642.95,6,24,17,47,139,210,362,8.47,4.32,2.86,4.03,77,86,16,57,170,17,13,0,0,-4,0,0,0
"John Leonard","20-21","S.J","L",44,494.85,3,7,3,13,60,87,104,5.35,5,3.45,6.15,17,11,13,25,33,1,2,0,0,1,0,1,-1
"John Leonard","21-22","S.J","L",14,157.92,1,1,0,2,25,32,36,1.32,4,3.12,4.12,8,5,1,13,7,0,2,0,0,2,1,1,0
"John Marino","19-20","PIT","D",56,1133.58,6,11,9,26,61,91,157,3.72,9.84,6.59,4.09,77,42,37,72,138,10,12,0,0,2,0,0,0
"John Marino","20-21","PIT","D",52,1078.15,3,5,5,13,56,79,106,2.35,5.36,3.8,2.97,50,21,29,48,94,4,5,0,0,1,0,0,0
"John Marino","21-22","PIT","D",81,1671.58,1,10,14,25,90,129,191,4.59,1.11,0.78,3.56,88,35,43,73,149,9,16,1,1,7,0,0,0
"John Moore","19-20","BOS","D",24,397.03,2,1,0,3,33,45,68,1.16,6.06,4.44,2.58,27,7,2,36,42,3,2,1,1,-1,0,0,0
"John Moore","20-21","BOS","D",5,104.93,0,2,0,2,8,10,15,0.2,0,0,2,6,4,0,9,11,1,0,0,0,-1,0,0,0
"John Moore","21-22","BOS","D",7,122.6,0,1,0,1,7,10,15,0.27,0,0,2.7,11,2,2,9,10,2,1,0,0,-1,0,0,0
"John Quenneville","19-20","CHI","C",9,99.43,0,0,0,0,14,17,19,1.22,0,0,7.18,3,5,2,21,17,0,1,0,0,1,3,1,2
"John Tavares","19-20","TOR","C",63,1231.62,26,24,10,60,197,287,357,22.98,13.2,9.06,8.01,31,47,35,32,89,12,16,0,0,4,617,499,118
"John Tavares","20-21","TOR","C",56,1019.03,19,18,13,50,163,222,278,23.07,11.66,8.56,10.39,28,55,32,51,81,7,13,0,0,6,471,381,90
"John Tavares","21-22","TOR","C",79,1427.52,27,21,28,76,237,347,429,34.61,11.39,7.78,9.97,44,65,40,90,95,16,18,0,0,2,813,529,284
"Johnny Boychuk","19-20","NYI","D",64,1106.27,2,6,3,11,96,139,212,3.12,2.08,1.44,2.24,128,50,6,135,116,7,3,0,0,-4,0,0,0
"Johnny Gaudreau","19-20","CGY","L",70,1315.3,18,24,16,58,209,272,349,19.35,8.61,6.62,7.11,11,71,40,1,25,6,11,0,0,5,1,3,-2
"Johnny Gaudreau","20-21","CGY","L",56,1031.17,19,22,8,49,112,156,197,12.79,16.96,12.18,8.2,9,59,23,8,29,3,18,0,0,15,0,1,-1
"Johnny Gaudreau","21-22","CGY","L",82,1523.15,40,52,23,115,262,348,463,30.19,15.27,11.49,8.68,9,81,50,10,39,8,24,0,0,16,1,0,1
"Jon Merrill","19-20","VGK","D",49,889.55,2,1,4,7,37,68,97,1.89,5.41,2.94,2.78,71,27,14,51,122,16,3,0,0,-13,0,0,0
"Jon Merrill","20-21","DET/MTL","D",49,894.57,0,4,1,5,41,63,92,1.39,0,0,2.21,70,31,7,34,80,8,4,0,0,-4,0,0,0
"Jon Merrill","21-22","MIN","D",69,1179.9,4,7,9,20,59,83,118,2.17,6.78,4.82,2.61,112,21,6,46,138,11,3,0,0,-8,0,0,0
"Jonah Gadjovich","21-22","S.J","L",43,376.5,1,2,0,3,36,53,69,4.74,2.78,1.89,8.94,14,10,7,104,50,7,9,10,10,2,1,2,-1
"Jonas Brodin","19-20","MIN","D",69,1487.05,2,12,14,28,103,141,194,3.53,1.94,1.42,2.5,112,16,14,41,102,12,8,0,0,-4,0,0,0
"Jonas Brodin","20-21","MIN","D",53,1189.02,9,7,7,23,80,104,166,4.83,11.25,8.65,4.64,99,19,14,35,93,9,7,0,0,-2,0,0,0
"Jonas Brodin","21-22","MIN","D",73,1710.12,5,9,16,30,126,157,232,5.29,3.97,3.18,3.37,126,28,24,42,112,9,5,0,0,-4,0,0,0
"Jonas Rondbjerg","21-22","VGK","R",30,300.37,2,2,2,6,30,42,50,3.59,6.67,4.76,8.55,11,5,8,13,54,2,3,0,0,1,0,2,-2
"Jonas Siegenthaler","19-20","WSH","D",64,1006.68,2,5,2,9,49,66,110,1.16,4.08,3.03,1.76,105,32,13,51,96,20,17,1,1,-3,0,0,0
"Jonas Siegenthaler","20-21","N.J/WSH","D",15,234.25,0,0,0,0,7,18,29,0.26,0,0,1.44,17,10,3,20,16,2,1,0,0,-1,0,0,0
"Jonas Siegenthaler","21-22","N.J","D",70,1439.67,1,6,7,14,92,121,190,2.54,1.09,0.83,2.1,106,52,17,98,142,16,16,2,2,0,0,0,0
"Jonathan Dahlen","21-22","S.J","C",61,842.13,12,7,3,22,105,137,178,13.3,11.43,8.76,9.71,34,23,21,16,31,6,6,0,0,0,0,1,-1
"Jonathan Drouin","19-20","MTL","L",27,423.93,7,5,3,15,52,70,84,4.8,13.46,10,6.86,5,11,12,25,13,7,6,0,0,-1,4,8,-4
"Jonathan Drouin","20-21","MTL","L",44,707.95,2,12,9,23,76,96,121,6.62,2.63,2.08,6.9,7,23,17,42,25,10,4,0,0,-6,21,24,-3
"Jonathan Drouin","21-22","MTL","L",34,580.98,5,9,5,19,61,86,103,5.88,8.2,5.81,6.84,11,18,6,27,18,4,3,1,0,-2,31,35,-4
"Jonathan Ericsson","19-20","DET","D",18,256.43,0,0,0,0,16,21,31,0.37,0,0,1.76,14,20,1,24,11,2,2,0,0,0,0,0,0
"Jonathan Huberdeau","19-20","FLA","C",69,1295.22,23,39,16,78,152,216,276,17.01,15.13,10.65,7.88,26,70,42,51,71,15,22,0,0,7,24,37,-13
"Jonathan Huberdeau","20-21","FLA","C",55,1012.57,20,22,19,61,123,153,190,13.79,16.26,13.07,9.01,11,43,37,51,50,13,22,0,0,9,17,22,-5
"Jonathan Huberdeau","21-22","FLA","C/L",80,1555.07,30,53,32,115,222,280,344,28.36,13.51,10.71,10.13,28,85,63,99,86,17,28,0,0,11,18,36,-18
"Jonathan Marchessault","19-20","VGK","C",66,1140.55,22,19,6,47,235,287,388,23.73,9.36,7.67,8.27,12,48,37,99,92,16,17,0,0,1,58,78,-20
"Jonathan Marchessault","20-21","VGK","C",55,958.3,18,17,9,44,176,241,331,16.81,10.23,7.47,6.98,14,22,29,44,60,12,11,1,1,-1,41,47,-6
"Jonathan Marchessault","21-22","VGK","C",76,1336.02,30,24,12,66,251,331,413,28.07,11.95,9.06,8.48,17,46,38,61,115,13,8,0,0,-5,43,57,-14
"Jonathan Toews","19-20","CHI","C",70,1384.38,18,24,18,60,172,226,285,20.15,10.47,7.96,8.92,35,40,58,56,104,24,15,0,0,-9,856,638,218
"Jonathan Toews","21-22","CHI","C",71,1240.65,13,15,10,38,126,159,189,13.04,10.32,8.18,8.2,22,34,48,25,84,17,12,1,1,-5,787,548,239
"Jonny Brodzinski","20-21","NYR","C",5,56.67,1,0,0,1,7,8,8,0.32,14.29,12.5,4,2,1,0,4,4,2,0,0,0,-2,0,1,-1
"Jonny Brodzinski","21-22","NYR","C",22,238.83,1,0,1,2,34,46,52,2.02,2.94,2.17,4.39,8,4,5,8,25,5,1,0,0,-4,49,48,1
"Joona Luoto","19-20","WPG","L",16,105.43,0,0,0,0,9,14,17,0.59,0,0,4.21,8,5,3,10,17,1,0,0,0,-1,0,0,0
"Joonas Donskoi","19-20","COL","R",65,1055.9,16,10,7,33,111,142,182,14.1,14.41,11.27,9.93,38,20,28,25,113,13,17,0,0,4,9,12,-3
"Joonas Donskoi","20-21","COL","R",51,741.5,17,9,5,31,86,122,149,14,19.77,13.93,11.48,25,10,18,14,63,5,6,0,0,1,13,18,-5
"Joonas Donskoi","21-22","SEA","R",75,1112.78,2,7,13,22,89,125,155,10.48,2.25,1.6,8.38,31,21,24,36,112,7,13,0,0,6,5,9,-4
"Jordan Eberle","19-20","NYI","C",58,1033.08,16,10,14,40,136,190,243,17.52,11.76,8.42,9.22,39,37,34,37,80,7,12,0,0,5,3,6,-3
"Jordan Eberle","20-21","NYI","C",55,921.7,16,9,8,33,128,173,203,15.21,12.5,9.25,8.79,18,15,15,30,90,8,12,0,0,4,3,4,-1
"Jordan Eberle","21-22","SEA","C/R",79,1417.82,21,13,10,44,164,239,310,18.68,12.8,8.79,7.82,40,34,50,48,85,8,7,0,0,-1,6,14,-8
"Jordan Greenway","19-20","MIN","L",67,948.82,8,15,5,28,93,120,162,7.15,8.6,6.67,5.96,44,30,41,95,91,22,15,2,2,-7,15,12,3
"Jordan Greenway","20-21","MIN","L",56,884.5,6,15,11,32,80,111,142,7.64,7.5,5.41,6.88,28,18,16,87,67,22,14,1,1,-8,16,17,-1
"Jordan Greenway","21-22","MIN","L",62,902.87,10,7,10,27,110,145,166,14.22,9.09,6.9,9.81,31,16,14,155,80,27,15,3,3,-12,18,31,-13
"Jordan Gross","20-21","ARI","D",7,92.32,0,1,2,3,10,15,23,0.19,0,0,1.27,8,4,0,6,7,1,0,0,0,-1,0,0,0
"Jordan Harris","21-22","MTL","D",10,162.8,1,0,0,1,9,11,15,0.31,11.11,9.09,2.82,11,8,3,10,28,4,2,0,0,-2,0,0,0
"Jordan Kyrou","19-20","STL","C",28,304.08,4,4,1,9,39,50,66,3.21,10.26,8,6.42,8,6,13,8,29,4,4,0,0,0,2,3,-1
"Jordan Kyrou","20-21","STL","C",55,793.32,14,16,5,35,98,139,171,11.21,14.29,10.07,8.06,13,22,32,7,77,6,12,0,0,6,6,6,0
"Jordan Kyrou","21-22","STL","C",74,1226.85,27,32,16,75,188,242,323,18.53,14.36,11.16,7.66,23,32,36,6,100,10,27,0,0,17,6,9,-3
"Jordan Martinook","19-20","CAR","L",45,506.68,2,8,3,13,44,72,95,4.98,4.55,2.78,6.92,23,19,24,72,69,11,5,0,0,-6,66,62,4
"Jordan Martinook","20-21","CAR","L",44,561.3,4,6,3,13,62,83,97,6.86,6.45,4.82,8.27,20,10,11,90,62,10,9,1,1,-1,78,88,-10
"Jordan Martinook","21-22","CAR","L",59,660.85,6,6,3,15,77,121,152,8.34,7.79,4.96,6.89,11,15,11,83,105,11,6,0,0,-5,23,28,-5
"Jordan Oesterle","19-20","ARI","D",58,986.85,3,7,3,13,69,104,159,2.61,4.35,2.88,2.51,88,37,11,48,106,7,7,0,0,0,0,0,0
"Jordan Oesterle","20-21","ARI","D",43,769.75,1,5,5,11,38,61,86,2.5,2.63,1.64,4.1,64,21,2,45,78,5,1,0,0,-4,1,0,1
"Jordan Oesterle","21-22","DET","D",45,823.92,2,4,2,8,63,77,101,1.92,3.17,2.6,2.49,44,17,6,27,82,2,0,0,0,-2,0,0,0
"Jordan Spence","21-22","L.A","D",24,473.85,2,4,2,8,41,60,99,1.55,4.88,3.33,2.58,29,11,3,32,38,1,1,0,0,0,0,0,0
"Jordan Staal","19-20","CAR","C",68,1190.47,8,11,8,27,125,169,202,16.91,6.4,4.73,10.01,36,41,30,149,86,20,15,0,0,-5,699,585,114
"Jordan Staal","20-21","CAR","C",53,979.73,16,10,12,38,103,144,168,15.87,15.53,11.11,11.02,24,21,15,135,67,15,8,0,0,-7,628,455,173
"Jordan Staal","21-22","CAR","C",78,1297.3,17,10,9,36,146,207,234,20.68,11.64,8.21,9.99,29,51,34,212,99,9,15,0,0,6,736,549,187
"Jordan Weal","19-20","MTL","C",49,667.05,8,2,5,15,86,108,137,9.14,9.3,7.41,8.46,21,12,22,32,45,7,5,0,0,-2,96,97,-1
"Jordie Benn","19-20","VAN","D",44,716.6,1,4,2,7,58,76,115,1.32,1.72,1.32,1.74,62,17,7,45,47,6,7,1,1,1,0,0,0
"Jordie Benn","20-21","VAN/WPG","D",39,575.45,1,5,4,10,45,64,92,1.5,2.22,1.56,2.34,51,19,5,19,31,2,0,1,1,-2,0,0,0
"Jordie Benn","21-22","MIN","D",39,585.07,1,4,3,8,37,54,77,1.26,2.7,1.85,2.33,41,15,6,51,46,5,0,0,0,-5,0,0,0
"Joseph Blandisi","19-20","PIT","C",21,172.43,2,3,0,5,12,16,21,1.23,16.67,12.5,7.69,9,1,8,26,21,5,6,0,0,1,33,48,-15
"Josh Anderson","19-20","CBJ","R",26,417.53,1,2,1,4,63,83,98,6.44,1.59,1.2,7.76,13,12,9,68,26,6,6,1,1,0,7,12,-5
"Josh Anderson","20-21","MTL","R",52,853.75,17,4,3,24,125,183,218,13.77,13.6,9.29,7.52,25,12,17,139,82,14,11,2,2,-3,7,5,2
"Josh Anderson","21-22","MTL","R",69,1187.43,19,7,6,32,152,226,283,20.79,12.5,8.41,9.2,35,31,33,153,76,20,20,3,3,0,20,22,-2
"Josh Archibald","19-20","EDM","R",62,820.35,12,8,1,21,64,97,119,9.01,18.75,12.37,9.29,44,11,24,165,86,6,9,0,0,3,0,2,-2
"Josh Archibald","20-21","EDM","R",52,704.32,7,4,2,13,62,86,103,9.81,11.29,8.14,11.41,35,15,14,192,66,11,8,1,1,-3,4,4,0
"Josh Archibald","21-22","EDM","R",8,72.33,0,1,0,1,4,6,9,0.37,0,0,6.17,2,1,3,27,8,1,2,1,1,1,2,2,0
"Josh Bailey","19-20","NYI","C",68,1149.1,14,19,10,43,94,122,161,10.93,14.89,11.48,8.96,48,54,38,20,48,5,8,0,0,3,128,128,0
"Josh Bailey","20-21","NYI","C",54,944.98,8,15,12,35,77,98,122,7.22,10.39,8.16,7.37,19,39,19,13,32,2,0,0,0,-2,14,18,-4
"Josh Bailey","21-22","NYI","C/R",74,1250.07,14,18,12,44,87,115,156,10.34,16.09,12.17,8.99,26,43,31,19,40,3,2,0,0,-1,43,67,-24
"Josh Brown","19-20","FLA","D",56,751.4,3,1,4,8,48,69,97,1.98,6.25,4.35,2.87,53,24,10,77,72,12,13,3,3,1,0,0,0
"Josh Brown","20-21","OTT","D",26,367.67,0,1,0,1,8,17,31,0.3,0,0,1.76,40,15,3,71,25,10,5,2,2,-5,0,0,0
"Josh Brown","21-22","BOS/OTT","D",52,739,0,4,2,6,45,63,87,1.11,0,0,1.76,62,22,9,118,68,6,4,5,5,-2,0,0,0
"Josh Dunne","20-21","CBJ","C",6,62.32,0,0,0,0,7,8,10,0.55,0,0,6.88,7,0,1,12,9,2,1,0,0,-1,6,28,-22
"Josh Leivo","19-20","VAN","L",36,540.42,7,6,6,19,69,105,144,7.88,10.14,6.67,7.5,8,15,11,17,28,2,10,0,0,8,10,7,3
"Josh Leivo","20-21","CGY","L",38,408.48,6,1,2,9,50,76,94,5.23,12,7.89,6.88,2,10,16,33,20,5,5,0,0,0,3,9,-6
"Josh Leivo","21-22","CAR","L",7,64.6,1,1,1,3,10,14,14,1.22,10,7.14,8.71,1,1,0,4,6,1,0,0,0,-1,0,0,0
"Josh Mahura","19-20","ANA","D",11,178.5,1,1,2,4,11,16,25,0.39,9.09,6.25,2.44,11,5,2,2,27,1,0,0,0,-1,0,0,0
"Josh Mahura","20-21","ANA","D",13,206.67,1,2,1,4,14,21,34,0.38,7.14,4.76,1.81,9,9,1,10,29,2,1,0,0,-1,0,0,0
"Josh Mahura","21-22","ANA","D",38,534.3,3,2,2,7,36,52,82,1.57,8.33,5.77,3.02,51,17,5,63,90,6,6,0,1,1,0,0,0
"Josh Manson","19-20","ANA","D",50,1031.55,1,2,6,9,64,98,138,2.3,1.56,1.02,2.35,65,41,21,113,67,17,10,1,1,-7,0,0,0
"Josh Manson","20-21","ANA","D",23,413.58,1,4,2,7,19,26,48,0.64,5.26,3.85,2.46,31,13,6,61,39,10,2,2,2,-8,0,0,0
"Josh Manson","21-22","ANA/COL","D",67,1271.69,6,4,6,16,92,122,172,4.39,6.52,4.92,3.6,70,43,38,179,100,26,10,3,3,-16,0,0,0
"Josh Morrissey","19-20","WPG","D",65,1479.25,5,11,15,31,120,171,258,5.47,4.17,2.92,3.2,59,46,22,34,24,12,6,0,0,-6,0,0,0
"Josh Morrissey","20-21","WPG","D",56,1318.72,4,9,8,21,116,162,246,5.14,3.45,2.47,3.17,86,42,14,78,22,11,2,1,1,-9,0,0,0
"Josh Morrissey","21-22","WPG","D",79,1869.08,12,14,11,37,173,251,351,11.35,6.94,4.78,4.52,104,63,26,150,85,28,20,0,0,-8,0,0,0
"Josh Norris","19-20","OTT","C",3,53.75,0,0,0,0,9,9,14,0.56,0,0,6.22,2,0,1,3,6,0,0,0,0,0,30,19,11
"Josh Norris","20-21","OTT","C",56,922.23,17,8,10,35,96,134,168,11.39,17.71,12.69,8.5,34,28,17,72,73,4,10,1,1,6,379,345,34
"Josh Norris","21-22","OTT","C",66,1226.22,35,7,13,55,172,246,319,22.51,20.35,14.23,9.15,44,32,24,79,96,8,19,0,0,11,528,507,21
"Josiah Slavin","21-22","CHI","L",15,180.45,0,1,0,1,13,16,23,1.16,0,0,7.25,4,3,4,12,10,2,1,0,0,-1,29,38,-9
"Juho Lammikko","20-21","FLA","L",44,476.57,4,0,1,5,43,57,70,3.66,9.3,7.02,6.42,16,12,7,50,21,5,4,0,0,-1,124,152,-28
"Juho Lammikko","21-22","VAN","L",75,919.98,7,6,2,15,67,92,118,8.15,10.45,7.61,8.86,46,9,17,93,36,7,10,0,0,3,354,339,15
"Jujhar Khaira","19-20","EDM","L",64,802.12,6,3,1,10,69,90,119,6.26,8.7,6.67,6.96,30,36,15,136,90,14,13,2,2,-1,34,32,2
"Jujhar Khaira","20-21","EDM","L",40,481.97,3,3,5,11,41,60,73,3.77,7.32,5,6.28,21,11,7,151,42,6,3,4,4,-3,171,207,-36
"Jujhar Khaira","21-22","CHI","L",27,367.2,3,0,0,3,32,39,51,2.94,9.38,7.69,7.54,14,2,2,88,39,4,4,1,1,0,53,48,5
"Julien Gauthier","19-20","CAR/NYR","R",17,140.77,0,1,2,3,10,20,27,1.59,0,0,7.95,7,7,3,15,17,4,2,0,0,-2,1,2,-1
"Julien Gauthier","20-21","NYR","R",30,289.28,2,5,1,8,38,47,56,3.78,5.26,4.26,8.04,9,9,5,56,27,7,9,0,0,2,4,4,0
"Julien Gauthier","21-22","NYR","R",49,505.08,3,2,2,7,69,96,110,9.93,4.35,3.12,10.34,14,14,15,98,58,4,9,0,0,5,1,2,-1
"Justin Abdelkader","19-20","DET","L",49,565.15,0,2,1,3,40,61,76,3.53,0,0,5.79,26,18,10,103,40,10,8,1,1,-2,38,31,7
"Justin Bailey","21-22","VAN","R",14,127.1,0,0,0,0,16,17,25,0.48,0,0,2.82,6,4,7,12,5,3,3,0,0,0,0,1,-1
"Justin Barron","21-22","COL/MTL","D",7,120.25,1,0,1,2,13,15,18,0.67,7.69,6.67,4.47,5,3,2,5,13,0,0,0,0,0,0,0,0
"Justin Braun","19-20","PHI","D",62,1070.68,3,7,9,19,70,96,147,2.29,4.29,3.12,2.39,84,31,10,91,87,9,3,0,0,-6,0,0,0
"Justin Braun","20-21","PHI","D",53,982.07,1,1,4,6,59,82,119,1.77,1.69,1.22,2.16,73,31,7,78,60,9,2,0,0,-7,0,0,0
"Justin Braun","21-22","NYR/PHI","D",69,1348.73,6,5,7,18,73,105,160,2.25,8.22,5.71,2.14,121,32,16,87,91,18,8,0,1,-9,0,0,0
"Justin Danforth","21-22","CBJ","R",45,565.68,10,3,1,14,72,106,131,8.21,13.89,9.43,7.75,22,2,15,85,44,5,13,0,0,8,108,91,17
"Justin Dowling","19-20","DAL","C",29,317.68,3,3,0,6,29,40,50,2.48,10.34,7.5,6.2,12,9,15,25,21,4,0,0,0,-4,42,54,-12
"Justin Dowling","20-21","DAL","C",27,298.92,1,3,1,5,27,40,55,2.32,3.7,2.5,5.8,3,6,6,17,23,3,3,0,0,0,43,43,0
"Justin Dowling","21-22","VAN","C",22,211.08,2,2,0,4,17,22,28,2.17,11.76,9.09,9.86,9,1,4,10,19,1,1,0,0,0,21,19,2
"Justin Faulk","19-20","STL","D",69,1419.1,5,6,5,16,147,187,262,6.92,3.4,2.67,3.7,76,39,24,82,61,16,3,0,0,-13,0,0,0
"Justin Faulk","20-21","STL","D",56,1358.53,7,6,12,25,117,149,223,5.62,5.98,4.7,3.77,87,35,24,127,67,15,5,1,1,-10,0,0,0
"Justin Faulk","21-22","STL","D",76,1762.4,16,8,23,47,167,219,318,9.19,9.58,7.31,4.2,101,40,37,149,75,14,7,1,1,-7,0,0,0
"Justin Holl","19-20","TOR","D",68,1258.62,2,6,10,18,89,125,185,4.93,2.25,1.6,3.94,83,59,21,89,128,19,4,1,1,-15,0,0,0
"Justin Holl","20-21","TOR","D",55,1158.47,2,7,11,20,57,81,117,2.36,3.51,2.47,2.91,84,41,17,82,128,10,10,1,1,0,0,0,0
"Justin Holl","21-22","TOR","D",69,1394.4,3,6,14,23,64,90,128,3.67,4.69,3.33,4.08,104,56,18,129,207,18,7,1,1,-11,0,0,0
"Justin Schultz","19-20","PIT","D",46,914.25,3,3,6,12,86,126,178,4.25,3.49,2.38,3.37,50,18,6,36,98,3,1,0,0,-2,0,0,0
"Justin Schultz","20-21","WSH","D",46,874.73,3,19,5,27,67,96,130,3.23,4.48,3.12,3.36,49,25,12,28,68,6,4,0,0,-2,0,0,0
"Justin Schultz","21-22","WSH","D",74,1252.08,4,12,7,23,92,137,205,5.44,4.35,2.92,3.97,87,25,13,40,95,8,2,0,0,-6,0,0,0
"Justin Williams","19-20","CAR","R",20,272.32,8,2,1,11,60,74,86,6.89,13.33,10.81,9.31,7,13,3,20,17,3,5,0,0,2,3,7,-4
"Juuso Riikola","19-20","PIT","D",36,499.88,1,3,3,7,38,58,83,2.37,2.63,1.72,4.09,24,16,8,74,76,3,3,0,0,0,0,0,0
"Juuso Riikola","21-22","PIT","D",5,66.93,0,0,1,1,7,8,14,0.23,0,0,2.88,2,1,0,13,12,1,0,0,0,-1,0,0,0
"Juuso Valimaki","20-21","CGY","D",49,756.15,2,5,4,11,72,98,146,2.54,2.78,2.04,2.59,60,28,9,28,71,13,5,0,0,-8,0,0,0
"Juuso Valimaki","21-22","CGY","D",9,141.35,0,1,1,2,11,13,21,0.3,0,0,2.31,9,3,3,8,16,5,3,0,0,-2,0,0,0
"K'Andre Miller","20-21","NYR","D",53,1118.82,5,2,5,12,62,89,136,2.7,8.06,5.62,3.03,77,45,33,93,47,10,6,0,0,-4,0,0,0
"K'Andre Miller","21-22","NYR","D",82,1690.72,7,6,7,20,102,140,221,5.44,6.86,5,3.89,95,37,59,151,97,12,7,0,0,-5,0,0,0
"Kaapo Kakko","19-20","NYR","R",66,942.4,10,9,4,23,109,140,196,9.59,9.17,7.14,6.85,11,21,35,20,69,7,16,0,0,9,2,4,-2
"Kaapo Kakko","20-21","NYR","R",48,688.35,9,3,5,17,81,110,136,9.06,11.11,8.18,8.24,16,11,31,14,41,5,9,0,0,4,3,4,-1
"Kaapo Kakko","21-22","NYR","R",43,663.58,7,6,5,18,62,86,113,7.25,11.29,8.14,8.43,15,15,12,8,46,5,3,0,0,-2,1,6,-5
"Kailer Yamamoto","19-20","EDM","R",27,469.4,11,11,4,26,44,59,73,7.93,25,18.64,13.44,13,10,19,45,51,6,7,0,0,1,1,0,1
"Kailer Yamamoto","20-21","EDM","R",52,850.63,8,10,3,21,70,100,118,11.26,11.43,8,11.26,40,21,32,52,101,13,13,0,0,0,0,1,-1
"Kailer Yamamoto","21-22","EDM","R",81,1366.22,20,13,7,40,114,155,188,18.41,17.54,12.9,11.88,36,38,34,114,152,15,23,0,0,8,2,4,-2
"Kale Clague","19-20","L.A","D",4,58.23,0,0,0,0,2,4,6,0.06,0,0,1.5,4,1,0,1,3,1,0,0,0,-1,0,0,0
"Kale Clague","20-21","L.A","D",18,308.87,0,2,4,6,24,33,46,0.6,0,0,1.82,13,7,1,9,16,2,2,0,0,0,0,0,0
"Kale Clague","21-22","L.A/MTL","D",36,601.58,2,5,3,10,26,31,56,1.45,7.69,6.45,4.68,23,35,6,14,48,10,1,0,0,-9,0,0,0
"Karl Alzner","19-20","MTL","D",4,55.62,0,0,0,0,4,4,6,0.06,0,0,1.5,4,1,0,1,11,0,0,0,0,0,0,0,0
"Karson Kuhlman","19-20","BOS","C",25,313.32,1,4,1,6,45,61,75,4.1,2.22,1.64,6.72,8,5,2,36,37,4,4,1,1,0,1,3,-2
