"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Alex Radulov","19-20","DAL","R",57,151.68,95.33,79.93,82.47,85.14,92.93,19,0.93,141.91,35.63,199.67,42.45,274.17,47.86,19.44,1.48,18.07,106.28,157.22,226.31,17.96,13.39,97.39
"Alex Radulov","20-21","DAL","R",11,37.42,92.85,87.82,88.95,90.03,98.12,12.07,0.93,41.96,5.82,55.14,6.85,71.78,7.95,5.22,0.1,11.14,36.14,48.29,63.83,5.12,28.77,84.02
"Alex Radulov","21-22","DAL","R",69,148.75,89.94,85.09,86.13,87.76,90.59,18.6,2.08,134.64,23.6,190.2,30.63,248.83,34.69,19.06,1.98,16.52,111.04,159.57,214.14,17.08,13.81,91.19
"Alex Romanov","20-21","MTL","D",53,41.23,100,87.13,89.49,90.56,89.35,3.3,0,33.72,4.98,42.5,4.99,59.64,6.22,3.86,0.46,3.3,28.74,37.51,53.42,3.4,9.79,100
"Alex Texier","19-20","CBJ","C",36,20.6,46.27,68.87,77.44,78.95,72.24,0.93,1.08,13.14,5.94,20.39,5.94,22.31,5.95,1.9,0.73,-0.15,7.2,14.45,16.36,1.17,7.08,81.82
"Alex Texier","20-21","CBJ","C",45,46.73,100,77.79,81.95,82.69,85.31,3.94,0,33.83,9.66,48.18,10.61,56.38,11.8,3.95,0.68,3.94,24.17,37.57,44.58,3.27,11.65,100
"Alex Tuch","19-20","VGK","R",41,73.18,89.18,87.61,90.73,92.65,89.7,8.9,1.08,68.09,9.63,104.39,10.66,146.5,11.62,8.8,1.01,7.82,58.46,93.73,134.88,7.79,13.07,88.79
"Alex Tuch","20-21","VGK","R",55,111.18,91.33,85.08,87.38,88.5,94.75,11.37,1.08,110.13,19.32,146.36,21.14,197.14,25.61,14.99,0.83,10.29,90.81,125.22,171.53,14.16,10.32,94.41
"Alex Tuch","21-22","BUF","R",50,141.2,84.85,80.67,83.86,86,86.62,16.74,2.99,124.85,29.92,186.52,35.89,227.14,36.99,17.28,2.67,13.75,94.93,150.63,190.15,14.61,13.41,90.01
"Alex Wennberg","19-20","CBJ","C",57,118.88,86.94,87.68,86.5,89.09,87.56,12.91,1.94,98.34,13.82,119.31,18.62,151.81,18.6,10.84,1.54,10.97,84.52,100.69,133.21,9.3,13.13,85.96
"Alex Wennberg","20-21","FLA","C",56,106.73,100,75.11,78.53,81.34,82.76,8.28,0,83.18,27.56,108.08,29.55,146.74,33.67,9.46,1.97,8.28,55.62,78.53,113.07,7.49,9.95,100
"Alex Wennberg","21-22","SEA","C",77,162.35,85.8,83.4,85,86.8,91.28,11.72,1.94,132.82,26.43,179.15,31.61,228.68,34.78,16.12,1.54,9.78,106.39,147.54,193.9,14.58,8.82,92.66
"Alexis Lafrenière","20-21","NYR","L",53,64.87,68.26,73.94,80.87,84.4,90.42,2,0.93,30.96,10.91,54.56,12.91,74.97,13.86,4.34,0.46,1.07,20.05,41.65,61.11,3.88,6.46,91.48
