"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Brett Connolly","20-21","CHI/FLA","R",31,25.83,100,83.75,85.44,89.75,90.16,4.76,0,47.04,9.13,66.78,11.38,99.3,11.34,5.32,0.58,4.76,37.91,55.4,87.97,4.74,10.12,100
"Brett Howden","19-20","NYR","C",69,20.38,100,65.2,62.07,65.49,77.25,13.13,0,38.01,20.28,38.07,23.26,61.56,32.44,4.3,1.27,13.13,17.72,14.81,29.12,3.03,34.55,100
"Brett Pesce","20-21","CAR","D",55,47.72,100,79.12,79.98,82.09,83.6,9.07,0,33.5,8.84,49.72,12.45,67.29,14.69,3.91,0.77,9.07,24.66,37.27,52.61,3.14,27.06,100
"Brett Pesce","21-22","CAR","D",70,32.1,100,70.66,70.88,75.97,85.2,5.81,0,43.18,17.93,56.37,23.16,72.86,23.05,4.41,0.77,5.81,25.25,33.21,49.81,3.64,13.46,100
"Brian Boyle","19-20","FLA","C",39,34.18,57.56,83.74,86.78,90.32,96.91,2.07,1.53,43.39,8.43,55.52,8.46,78.26,8.39,4.95,0.16,0.54,34.97,47.06,69.87,4.79,4.77,81.88
"Brock Boeser","19-20","VAN","R",56,233.18,91.35,85.32,87.9,89.63,88.12,7.64,0.72,57.03,9.81,79.51,10.95,104.38,12.08,7.04,0.95,6.91,47.22,68.57,92.31,6.09,13.39,92.63
"Brock Boeser","20-21","VAN","R",56,201.2,90.65,83.69,87.14,89.75,84.56,6.21,0.64,48.31,9.42,74.75,11.03,105.09,12,6.8,1.24,5.57,38.89,63.72,93.08,5.56,12.86,93.19
"Brock Boeser","21-22","VAN","R",70,210.17,87.77,81.78,84.55,87.56,88.88,10.45,1.46,59.59,13.27,80.67,14.75,112.45,15.98,7.62,0.95,8.99,46.32,65.92,96.47,6.67,17.53,89.03
"Brock Nelson","19-20","NYI","C",65,137.9,82.85,87.39,86.97,87.97,88.19,6.58,1.36,58.6,8.45,74.21,11.12,101.67,13.91,7.93,1.06,5.22,50.15,63.09,87.76,6.87,11.23,83.89
"Brock Nelson","20-21","NYI","C",56,117.42,100,89.23,87.22,87.85,92.49,9.16,0,53.66,6.47,75.38,11.05,91.52,12.66,8.19,0.66,9.16,47.18,64.33,78.86,7.52,17.07,100
