"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alec Martinez","20-21","VGK","D",53,961.13,59.99,53.97,54.03,53.34,54.85,3.73,2.49,33.36,28.46,45.56,38.77,63.12,55.22,3.06,2.51,1.24,4.9,6.79,7.9,0.54,11.19,91.25
"Alec Martinez","21-22","VGK","D",26,457.7,57.97,52.71,53.32,51.98,53.42,2.74,1.99,35,31.41,47.13,41.25,63.86,59,3.2,2.79,0.75,3.59,5.88,4.86,0.41,7.83,93.67
"Alec Regula","21-22","CHI","D",15,233.97,45.02,46.19,43.92,44.9,50.19,2.54,3.1,27.96,32.57,35.83,45.75,49.16,60.34,2.08,2.06,-0.56,-4.61,-9.92,-11.17,0.02,9.09,90.47
"Aleksander Barkov","19-20","FLA","C",66,978.33,52.48,51.16,50.69,51.54,48.45,3.1,2.81,34.29,32.73,44.49,43.29,57.64,54.2,2.56,2.73,0.29,1.56,1.2,3.44,-0.16,9.04,91.42
"Aleksander Barkov","20-21","FLA","C",50,744.35,61.58,60.75,59.65,60.02,61.32,3.32,2.07,39.07,25.24,51.1,34.56,65.4,43.57,3.18,2.01,1.25,13.83,16.54,21.83,1.17,8.5,91.79
"Aleksander Barkov","21-22","FLA","C",67,937.48,64.2,59.96,59.33,59.7,59.5,3.99,2.23,41.18,27.5,53.94,36.98,70.49,47.59,3.62,2.47,1.77,13.68,16.96,22.9,1.16,9.69,91.91
"Aleksi Heponiemi","20-21","FLA","C",9,103.38,71.84,55.62,58.82,56.27,55.71,2.9,1.14,36.19,28.87,53.72,37.6,65.43,50.85,2.72,2.16,1.76,7.32,16.12,14.59,0.56,8.02,96.06
"Aleksi Heponiemi","21-22","FLA","C",6,81.47,0,51.72,55.28,55.13,51.84,0,4.46,36.41,33.99,49.41,39.97,63.59,51.75,2.9,2.7,-4.46,2.42,9.44,11.84,0.21,0,86.87
"Aleksi Saarela","19-20","FLA","C",9,106.25,58.31,47.92,50.2,46.78,51.86,2.38,1.7,32.8,35.65,47.76,47.38,56.53,64.3,2.91,2.7,0.68,-2.85,0.38,-7.77,0.21,7.25,95.23
"Alex Barabanov","20-21","S.J/TOR","L",22,231.58,50.72,49.98,47.33,46.15,51.02,3.29,3.19,30.95,30.97,39.49,43.95,50.04,58.39,2.86,2.74,0.09,-0.02,-4.45,-8.35,0.11,10.62,89.68
"Alex Barabanov","21-22","S.J","L",70,1050.47,53.71,46.09,45.65,45.31,46.26,2.8,2.42,27.96,32.7,39.01,46.43,52.84,63.77,2.34,2.72,0.39,-4.74,-7.43,-10.93,-0.38,10.03,92.61
"Alex Barre-Boulet","20-21","T.B","C",15,184.35,57,51.84,54.55,54.86,62.1,2.25,1.7,25.07,23.3,37.98,31.64,51.06,42.01,2.31,1.41,0.55,1.78,6.34,9.05,0.9,8.98,92.71
"Alex Barre-Boulet","21-22","SEA/T.B","C",16,147.11,51.12,40.75,43.99,46.96,44.6,2.88,2.76,24.42,35.51,36.1,45.96,51.47,58.13,2.02,2.51,0.13,-11.09,-9.86,-6.66,-0.49,11.81,92.24
"Alex Belzile","21-22","MTL","R",11,97.3,61.32,50.89,46.89,49.63,42.92,1.89,1.19,30.53,29.46,36.08,40.87,48.38,49.11,1.72,2.29,0.7,1.07,-4.79,-0.73,-0.57,6.18,95.96
"Alex Biega","19-20","DET","D",49,708.1,38.01,41.96,43.57,43.5,42.28,1.25,2.03,24.11,33.35,35.31,45.73,45.23,58.76,1.84,2.51,-0.79,-9.24,-10.42,-13.53,-0.67,5.17,93.91
"Alex Biega","20-21","DET","D",13,124.03,46.54,40.03,39.67,41.32,43.98,2.44,2.8,25.5,38.2,33.33,50.7,46.82,66.49,2.21,2.82,-0.36,-12.7,-17.37,-19.67,-0.6,9.56,92.67
