"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Brett Howden","21-22","VGK","C",46,20.5,41.75,27.95,24.49,19.19,35.2,5.85,8.17,23.5,60.59,23.5,72.47,23.5,98.96,3.69,6.79,-2.31,-37.08,-48.97,-75.45,-3.1,24.91,86.52
"Brett Kulak","21-22","EDM/MTL","D",74,81.08,19.51,21.84,23.19,22.54,17.28,1.52,6.26,14.74,52.76,18.67,61.84,21.22,72.91,1.32,6.3,-4.74,-38.02,-43.17,-51.69,-4.99,10.29,88.13
"Brett Pesce","19-20","CAR","D",61,193.08,15.83,19.23,15.61,13.72,12.19,0.99,5.25,12.15,51.01,13.47,72.87,14.39,90.5,1.08,7.77,-4.27,-38.86,-59.39,-76.11,-6.69,8.14,89.7
"Brett Pesce","20-21","CAR","D",54,166.02,13.45,25.91,25.53,20.64,21.34,0.7,4.49,13.48,38.54,17.75,51.77,18.89,72.65,1.26,4.64,-3.79,-25.06,-34.02,-53.76,-3.38,5.17,88.35
"Brett Pesce","21-22","CAR","D",70,194.83,0,26.82,22.49,21.96,16.73,0,4.09,13.27,36.19,15.29,52.7,17.89,63.59,1.05,5.21,-4.09,-22.93,-37.4,-45.7,-4.16,0,88.7
"Brian Boyle","19-20","FLA","C",38,21.15,0,12.52,10.9,9.53,5.43,0,10.58,8.68,60.65,11.29,92.34,11.32,107.46,0.43,7.4,-10.58,-51.97,-81.05,-96.14,-6.98,0,82.55
"Brian Boyle","21-22","PIT","C",64,124.57,6.33,11.77,10.73,8.46,5.52,0.57,8.4,7.75,58.13,9.63,80.14,9.61,104.06,0.46,7.84,-7.84,-50.38,-70.51,-94.44,-7.38,7.33,85.54
"Brian Dumoulin","19-20","PIT","D",27,60.15,34.58,21.71,17.46,15.25,17.36,3.03,5.74,12.86,46.35,13.86,65.49,14.73,81.91,1.3,6.17,-2.7,-33.5,-51.63,-67.17,-4.88,23.58,87.63
"Brian Dumoulin","20-21","PIT","D",40,108.37,16.62,14.72,13.78,12.82,12.21,1.53,7.7,8.13,47.09,10.14,63.47,12.55,85.33,0.8,5.73,-6.16,-38.96,-53.32,-72.78,-4.93,18.87,83.66
"Brian Dumoulin","21-22","PIT","D",73,178.88,11.29,17.19,13.9,12.54,9.45,0.69,5.46,11.81,56.88,12.87,79.71,14.71,102.62,0.76,7.33,-4.76,-45.07,-66.85,-87.91,-6.56,5.88,90.41
"Brock McGinn","19-20","CAR","L",68,160.23,10.92,20.96,16.98,13.86,9.07,0.75,6.11,13.18,49.71,14.32,70.01,14.73,91.53,0.73,7.29,-5.36,-36.52,-55.69,-76.8,-6.56,5.68,87.71
"Brock McGinn","20-21","CAR","L",36,78.2,14.22,24.4,23.25,20.81,15.51,0.71,4.3,13.26,41.08,16.47,54.39,18.81,71.55,0.89,4.85,-3.59,-27.82,-37.92,-52.74,-3.96,5.38,89.52
"Brock McGinn","21-22","PIT","L",62,127.07,7.93,19.38,15.7,13.86,12.83,0.51,5.92,15.04,62.57,16.4,88.07,17.73,110.16,1.26,8.54,-5.41,-47.52,-71.67,-92.43,-7.28,3.39,90.54
"Brock Nelson","19-20","NYI","C",63,102.42,0,14.15,11.46,10.03,10.82,0,5.32,8.44,51.2,8.98,69.4,10.9,97.8,0.79,6.47,-5.32,-42.77,-60.42,-86.9,-5.68,0,89.61
"Brock Nelson","20-21","NYI","C",54,55.37,0,19.74,17.46,15.71,16.18,0,4.16,9.81,39.88,13.05,61.67,15.34,82.36,1.03,5.33,-4.16,-30.07,-48.62,-67.01,-4.3,0,89.57
"Brock Nelson","21-22","NYI","C",69,52.28,0,25.89,28.6,25.66,20.21,0,4.29,12.51,35.81,20.53,51.25,23,66.63,1.34,5.3,-4.29,-23.3,-30.72,-43.63,-3.96,0,88.01
"Bryan Rust","19-20","PIT","R",54,89.15,18.77,24.25,18.04,16.77,25.29,1.25,5.42,14.17,44.26,14.85,67.46,16.8,83.37,2.03,6,-4.17,-30.1,-52.61,-66.58,-3.97,8.84,87.76
"Bryan Rust","21-22","PIT","R",59,45.73,0,13.95,17.82,13.87,11.79,0,6.47,7.22,44.53,13.51,62.34,13.47,83.71,0.87,6.48,-6.47,-37.31,-48.82,-70.23,-5.62,0,85.47
"Cal Clutterbuck","19-20","NYI","R",35,80.58,26.22,19.65,17.74,13.31,17.76,1.48,4.17,13.51,55.22,15.16,70.28,15.94,103.81,1.39,6.45,-2.69,-41.71,-55.12,-87.87,-5.06,10.97,92.45
"Cal Clutterbuck","20-21","NYI","R",48,87.97,14.2,10.57,10.96,8.14,7.47,1.4,8.45,6.3,53.26,9.69,78.72,9.69,109.41,0.58,7.18,-7.05,-46.97,-69.03,-99.72,-6.6,22.21,84.13
