"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Adrian Kempe","21-22","L.A","C/L",78,1072.52,47.13,54.76,54.72,54.38,51.78,2.48,2.78,35.01,28.92,47.2,39.06,62.24,52.22,2.96,2.76,-0.3,6.09,8.14,10.02,0.2,7.07,90.4
"Alan Quine","19-20","CGY","C",9,87.4,33.44,51.43,50.94,52.76,55.91,0.69,1.38,32.7,30.88,47.86,46.09,66.84,59.84,2.99,2.35,-0.69,1.82,1.76,7,0.63,2.12,95.53
"Alec Martinez","19-20","L.A","D",41,727,44.53,50.3,50.81,50.23,50.29,2.5,3.11,30.34,29.98,44.74,43.32,58.21,57.67,2.44,2.41,-0.61,0.36,1.42,0.54,0.03,8.24,89.61
"Alec Martinez","19-20","VGK","D",10,192.82,66.94,54.94,53.13,51.11,58.18,3.09,1.52,33.23,27.25,42.99,37.92,60.75,58.12,3.07,2.2,1.56,5.98,5.07,2.63,0.86,9.29,94.41
"Alec Martinez","20-21","VGK","D",53,961.13,59.99,53.97,54.03,53.34,54.85,3.73,2.49,33.36,28.46,45.56,38.77,63.12,55.22,3.06,2.51,1.24,4.9,6.79,7.9,0.54,11.19,91.25
"Alec Martinez","21-22","VGK","D",26,457.7,57.97,52.71,53.32,51.98,53.42,2.74,1.99,35,31.41,47.13,41.25,63.86,59,3.2,2.79,0.75,3.59,5.88,4.86,0.41,7.83,93.67
"Alec Regula","21-22","CHI","D",15,233.97,45.02,46.19,43.92,44.9,50.19,2.54,3.1,27.96,32.57,35.83,45.75,49.16,60.34,2.08,2.06,-0.56,-4.61,-9.92,-11.17,0.02,9.09,90.47
"Aleksander Barkov","19-20","FLA","C",66,978.33,52.48,51.16,50.69,51.54,48.45,3.1,2.81,34.29,32.73,44.49,43.29,57.64,54.2,2.56,2.73,0.29,1.56,1.2,3.44,-0.16,9.04,91.42
"Aleksander Barkov","20-21","FLA","C",50,744.35,61.58,60.75,59.65,60.02,61.32,3.32,2.07,39.07,25.24,51.1,34.56,65.4,43.57,3.18,2.01,1.25,13.83,16.54,21.83,1.17,8.5,91.79
"Aleksander Barkov","21-22","FLA","C",67,936.45,64.2,59.92,59.29,59.67,59.35,3.99,2.23,41.17,27.53,53.81,36.96,70.39,47.58,3.6,2.47,1.77,13.63,16.86,22.81,1.14,9.7,91.91
"Aleksi Heponiemi","20-21","FLA","C",9,103.38,71.84,55.62,58.82,56.27,55.71,2.9,1.14,36.19,28.87,53.72,37.6,65.43,50.85,2.72,2.16,1.76,7.32,16.12,14.59,0.56,8.02,96.06
"Aleksi Heponiemi","21-22","FLA","C",6,81.47,0,51.72,55.28,55.13,51.84,0,4.46,36.41,33.99,49.41,39.97,63.59,51.75,2.9,2.7,-4.46,2.42,9.44,11.84,0.21,0,86.87
"Aleksi Saarela","19-20","FLA","C",9,106.25,58.31,47.92,50.2,46.78,51.86,2.38,1.7,32.8,35.65,47.76,47.38,56.53,64.3,2.91,2.7,0.68,-2.85,0.38,-7.77,0.21,7.25,95.23
"Alex Barabanov","20-21","S.J","L",9,122.45,47.93,47.31,44.41,43.83,49.12,4.71,5.12,33.82,37.67,40.64,50.87,52.32,67.05,3.3,3.42,-0.41,-3.85,-10.23,-14.73,-0.12,13.92,86.42
"Alex Barabanov","20-21","TOR","L",13,109.13,61.97,54.17,51.36,49.38,54.29,1.69,1.04,27.72,23.45,38.21,36.18,47.49,48.69,2.36,1.99,0.65,4.27,2.02,-1.2,0.37,6.11,95.57
"Alex Barabanov","21-22","S.J","L",70,1050,53.71,46.09,45.69,45.34,46.33,2.81,2.42,27.97,32.72,39.08,46.46,52.92,63.8,2.35,2.72,0.39,-4.75,-7.38,-10.88,-0.37,10.03,92.61
